Description,Meaning,Source,Type
가갸 뒤 자〔뒷다리〕도 모른다,"글자를 모르는 사람을 비유적으로 이르는 말.,사리에 어두운 사람을 놀림조로 이르는 말.",고려대 한국어대사전,속담
가까운 남이 먼 일가보다 낫다,이웃끼리 서로 친하게 지내다 보면 먼 곳에 있는 일가보다 더 친하게 되어 서로 도우며 살게 된다는 것을 이르는 말.,표준국어대사전,속담
가까운 데 집은 깎이고 먼 데 절은 비친다,"가까운 데 있는 절이나 집은 자잘한 흠도 잘 드러나서 좋지 않아 보이고 먼 곳에 윤곽만 보이는 절이나 집은 좋아 보인다는 뜻으로, 늘 가까이에 있는 것은 그 뛰어남이 보이지 않는 반면 멀리 있는 것은 실제보다 더 돋보이기 쉬움을 비유적으로 이르는 말.",표준국어대사전,속담
가까운 무당보다 먼 데 무당이 영하다,흔히 사람은 자신이 잘 알고 가까이 있는 것보다는 잘 모르고 멀리 있는 것을 더 좋은 것인 줄로 생각한다는 말.,표준국어대사전,속담
가까운 집 며느리일수록 흉이 많다,늘 가까이 있고 잘 아는 사이일수록 상대편의 결점이 눈에 더 많이 띈다는 말.,표준국어대사전,속담
가난 구제는 나라〔나라님/임금〕도 못 한다〔어렵다〕,가난한 사람을 도와주기란 끝이 없는 일이어서 개인은 물론 나라의 힘으로도 구제하지 못한다는 말. (=가난은 나라(님)도 못 당한다.),고려대 한국어대사전,속담
가난과 거지는 사촌 간이다,가난이 극도에 이르면 결국에 가서는 얻어먹으러 나서는 길밖에 없음을 이르는 말.,표준국어대사전,속담
가난도 암가난 수가난이 있다,"가난한 살림에는 여자가 살림을 잘 못하는 탓으로 못살게 되는 암가난과, 남자가 똑똑하지 못하여 살림이 쪼들리는 수가난이 있다는 말.",표준국어대사전,속담
가난은 나라도 못 당한다,"가난한 사람을 도와주기란 끝이 없는 일이어서, 개인은 물론 나라의 힘으로도 구제하지 못한다는 말. (=가난 구제는 나라도 못한다.)",고려대 한국어대사전,속담
가난한 놈은 성도 없나,가난한 사람이 괄시를 당할 때 하는 말.,고려대 한국어대사전,속담
가난한 사람 걱정은 결국 돈 한 가지 없다는 걱정이다,가난한 사람에게서 걱정이란 결국 돈이 없는 데서 생기는 걱정뿐이라는 말.,표준국어대사전,속담
가난한 사람의 한 등불이 백만장자의 일만 등불보다 낫다,가난한 사람이 남을 위하여 어떤 좋은 일을 하거나 내놓는 것이 비록 보잘것없고 적다 하여도 부자들이 많이 내는 것보다 귀중하다는 말.,표준국어대사전,속담
가난한 양반 상청〔향청〕에 들어가듯,"행색이 떳떳하지 못하여 주저하고 쩔쩔매는 모습을 비유적으로 이르는 말.,하기 싫은 일을 마지못하여 기운 없이 한다는 말.",고려대 한국어대사전,속담
가난한 집 신주 굶듯 한다,"가난한 집에서는 산 사람도 배를 곯는 형편이라 신주까지도 제사 음식을 받아 보지 못한다는 뜻으로, 어쩔 수 없이 줄곧 굶기만 함을 이르는 말.",고려대 한국어대사전,속담
